frame,users,vehicles,average_user_wait_time,vehicle_availability,vehicles_depleted,vehicle_utilization
226,0,10,0,80.0,2,0.0
227,1,10,1.0,80.0,2,0.0
228,2,10,1.5,80.0,2,0.0
229,2,10,2.5,80.0,2,0.0
230,2,10,2.0,80.0,2,0.0
231,2,10,2.5,70.0,2,12.5
232,2,10,3.0,70.0,3,0.0
233,2,10,3.5,60.0,3,14.29
234,3,10,3.0,60.0,3,14.29
235,1,10,2.0,70.0,3,0.0
236,1,10,3.0,70.0,3,0.0
237,1,10,4.0,70.0,3,0.0
238,1,10,5.0,70.0,3,0.0
239,1,10,6.0,70.0,3,0.0
240,1,10,7.0,70.0,3,0.0
241,1,10,8.0,70.0,3,0.0
242,1,10,9.0,80.0,2,0.0
243,0,10,0,80.0,2,0.0
244,0,10,0,80.0,2,0.0
245,1,10,1.0,80.0,2,0.0
246,1,10,2.0,80.0,2,0.0
247,0,10,0,80.0,2,0.0
248,1,10,1.0,90.0,1,0.0
249,1,10,2.0,90.0,1,0.0
250,1,10,3.0,90.0,1,0.0
251,1,10,4.0,90.0,1,0.0
252,1,10,5.0,90.0,1,0.0
253,1,10,6.0,90.0,1,0.0
254,0,10,0,90.0,1,0.0
255,1,10,0.0,80.0,1,11.11
256,2,10,0.5,80.0,2,0.0
257,2,10,1.5,80.0,2,0.0
258,2,10,2.0,80.0,2,0.0
259,0,10,0,80.0,2,0.0
260,0,10,0,80.0,2,0.0
261,0,10,0,90.0,1,0.0
262,0,10,0,90.0,1,0.0
263,0,10,0,90.0,1,0.0
264,1,10,0.0,80.0,1,11.11
265,1,10,0.0,80.0,1,11.11
266,1,10,0.0,80.0,1,11.11
267,2,10,0.5,80.0,1,11.11
268,3,10,1.0,80.0,2,0.0
269,3,10,2.0,80.0,2,0.0
270,2,10,3.0,80.0,2,0.0
271,1,10,3.0,80.0,2,0.0
272,1,10,1.0,80.0,2,0.0
273,0,10,0,80.0,2,0.0
274,0,10,0,80.0,2,0.0
275,0,10,0,80.0,2,0.0
276,0,10,0,80.0,2,0.0
277,0,10,0,80.0,2,0.0
278,0,10,0,80.0,2,0.0
279,1,10,1.0,80.0,2,0.0
280,2,10,1.5,80.0,2,0.0
281,2,10,2.0,70.0,2,12.5
282,2,10,2.5,70.0,3,0.0
283,3,10,2.67,70.0,3,0.0
284,2,10,2.5,70.0,3,0.0
285,3,10,2.67,80.0,2,0.0
286,2,10,3.0,70.0,2,12.5
287,3,10,2.67,70.0,2,12.5
288,2,10,4.0,70.0,2,12.5
289,3,10,3.33,70.0,2,12.5
290,3,10,2.0,70.0,3,0.0
291,2,10,3.5,70.0,3,0.0
292,2,10,4.5,70.0,3,0.0
293,1,10,1.0,70.0,3,0.0
294,2,10,1.0,60.0,4,0.0
295,3,10,1.67,60.0,4,0.0
296,4,10,2.25,60.0,4,0.0
297,4,10,3.25,70.0,3,0.0
298,3,10,4.33,70.0,3,0.0
299,4,10,4.25,70.0,3,0.0
300,4,10,5.0,60.0,3,14.29
